id;price;area;rooms;floor;rent;outdoor;parking;build_year;status;district;max_floor
1;1070000;59.5;2;8;;;;2000;;Targówek;11
2;;38.04;2;0;;ogródek;garaż/miejsce parkingowe;;do wykończenia;Ursynów;5
3;1700000;67.44;3;3;;balkon;garaż/miejsce parkingowe;;do zamieszkania;Wilanów;3
4;933000;46.0;2;;600;balkon;;;;Śródmieście;
5;;80.74;4;0;;taras, ogródek;garaż/miejsce parkingowe;;do wykończenia;Targówek;10
6;330000;16.14;1;1;630;;;1933;do zamieszkania;Praga-Północ;3
7;659000;33.0;2;5;500;balkon;;1936;do zamieszkania;Praga-Północ;5
8;1077000;82.87;4;;80;;garaż/miejsce parkingowe;2025;;Wesoła;
9;1289000;49.0;2;5;699;;;1952;do zamieszkania;Śródmieście;6
10;;32.11;1;2;;balkon;garaż/miejsce parkingowe;;do wykończenia;Wola;8
10;;32.11;1;2;;balkon;garaż/miejsce parkingowe;;do wykończenia;Wola;8
11;610000;27.0;1;1;650;;garaż/miejsce parkingowe;1966;do zamieszkania;Mokotów;4
12;1031745;61.05;3;2;;balkon;garaż/miejsce parkingowe;;do wykończenia;Mokotów;11
13;779000;67.1;3;4;1350;balkon;;1999;do zamieszkania;Białołęka;4
14;2360000;108.0;3;4;1500;balkon;;1938;do zamieszkania;Mokotów;5
15;499000;28.0;2;4;600;balkon;garaż/miejsce parkingowe;2002;do zamieszkania;Białołęka;4
16;1990000;87.31;3;5;1300;balkon;garaż/miejsce parkingowe;2016;do zamieszkania;Żoliborz;5
17;1100000;49.93;2;2;;balkon;;1952;;Mokotów;5
18;550000;31.79;1;3;700;balkon;;1960;;Bielany;4
19;748000;33.74;1;4;;balkon;garaż/miejsce parkingowe;;do wykończenia;Praga-Północ;7
20;1159000;84.37;4;1;1294;balkon;;1993;;Bemowo;3
21;1360000;68.0;3;11;;;;2001;do zamieszkania;Mokotów;11
22;2400000;103.0;4;2;1600;balkon, ogródek;garaż/miejsce parkingowe;1955;do wykończenia;Praga-Południe;2
23;1522500;87.0;3;0;1000;balkon;;1986;do zamieszkania;Wilanów;2
24;745000;33.0;1;;;balkon, taras;;2019;do zamieszkania;Wola;
25;1580000;115.0;5;4;1400;balkon;garaż/miejsce parkingowe;1990;do zamieszkania;Praga-Południe;5
26;760000;41.78;2;1;;balkon;;1953;;Mokotów;2
27;879000;45.36;2;1;643;;garaż/miejsce parkingowe;2015;do zamieszkania;Mokotów;3
28;960262;68.92;3;7;;balkon;garaż/miejsce parkingowe;;do wykończenia;Ursus;7
29;860000;68.8;3;3;;balkon;;1979;do remontu;Praga-Południe;10
30;3807000;126.87;5;7;;;garaż/miejsce parkingowe;;do wykończenia;Żoliborz;7
31;778000;62.3;3;3;;balkon;;1977;do zamieszkania;Ursus;4
32;1850000;100.0;4;7;1300;taras;garaż/miejsce parkingowe;2006;do zamieszkania;Bemowo;7
33;1920000;74.47;3;4;;;;;do zamieszkania;Śródmieście;5
34;;62.86;3;1;;;garaż/miejsce parkingowe;;do wykończenia;Włochy;10
35;630000;38.5;2;1;;balkon;garaż/miejsce parkingowe;1972;do zamieszkania;Targówek;4
36;783000;36.5;1;3;540;balkon;;2016;do zamieszkania;Praga-Północ;5
37;1180000;85.5;4;4;880;;garaż/miejsce parkingowe;1999;do remontu;Ursynów;4
38;665000;36.0;2;3;480;balkon;;1936;do zamieszkania;Praga-Południe;4
39;2357535;111.42;5;9;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Mokotów;9
40;877200;48.73;2;0;;balkon, taras;garaż/miejsce parkingowe;2026;do wykończenia;Bemowo;3
41;1030000;79.4;3;1;1100;balkon;garaż/miejsce parkingowe;2011;do zamieszkania;Wesoła;4
43;1299000;74.9;3;0;530;ogródek;;2014;do zamieszkania;Ursus;7
44;1250000;72.26;3;2;750;balkon;garaż/miejsce parkingowe;1991;do remontu;Ursynów;2
45;750000;35.8;1;4;710;;garaż/miejsce parkingowe;1912;do zamieszkania;Wola;5
46;669000;49.1;2;2;1000;balkon;;1990;do remontu;Praga-Południe;4
47;529000;24.5;1;9;425;;;1971;do zamieszkania;Bielany;10
48;1077000;80.44;4;0;80;balkon, ogródek, taras;garaż/miejsce parkingowe;2025;;Wesoła;1
49;989900;66.45;4;7;816;balkon;;1977;do remontu;Bielany;15
50;1340000;84.27;3;0;800;ogródek, taras;garaż/miejsce parkingowe;2023;do zamieszkania;Ursus;3
51;620000;35.28;2;4;750;balkon;;1935;do remontu;Wola;4
52;3750000;160.5;4;11;2500;balkon;garaż/miejsce parkingowe;2000;do zamieszkania;Targówek;14
53;1180000;60.9;3;5;612;balkon;garaż/miejsce parkingowe;2009;do zamieszkania;Wola;5
54;1466960;66.68;3;1;900;balkon;garaż/miejsce parkingowe;2013;do zamieszkania;Bielany;6
55;1599000;69.89;3;1;1000;balkon;garaż/miejsce parkingowe;2014;do zamieszkania;Żoliborz;6
56;2799000;113.6;4;6;;balkon;garaż/miejsce parkingowe;1994;do zamieszkania;Śródmieście;8
57;997000;39.69;1;4;534;balkon;;2004;do zamieszkania;Śródmieście;7
58;649000;31.87;1;3;625;;;1953;do remontu;Praga-Północ;6
59;966019;60.38;3;1;760;balkon;garaż/miejsce parkingowe;2017;do zamieszkania;Białołęka;3
60;625000;36.5;2;5;470;balkon;;1966;do remontu;Włochy;10
61;699000;40.56;2;0;;;;1928;do zamieszkania;Praga-Północ;5
62;499000;24.0;1;0;370;;;1963;;Mokotów;3
63;1070000;59.5;2;8;;;;2000;;Targówek;11
64;1043000;43.42;2;6;;balkon;garaż/miejsce parkingowe;;do wykończenia;Praga-Północ;7
65;630000;40.0;2;;;;garaż/miejsce parkingowe;;do zamieszkania;Praga-Północ;
66;1085000;57.45;3;2;;balkon;garaż/miejsce parkingowe;2025;do wykończenia;Bielany;2
67;735000;36.8;2;1;;balkon;garaż/miejsce parkingowe;2025;do wykończenia;Bielany;2
68;850000;56.36;3;2;;balkon;;1971;do wykończenia;Ochota;4
69;787000;38.37;2;0;;ogródek, taras;garaż/miejsce parkingowe;2025;do wykończenia;Bielany;2
70;;101.97;5;8;;taras;garaż/miejsce parkingowe;;do wykończenia;Wola;8
71;849000;39.54;1;4;500;balkon;garaż/miejsce parkingowe;2004;do zamieszkania;Ursynów;6
72;859000;120.0;5;0;;ogródek;garaż/miejsce parkingowe;2023;;Śródmieście;2
73;770000;50.5;2;8;800;balkon;;1980;do zamieszkania;Bemowo;10
74;1109400;73.06;4;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Włochy;7
75;1280000;82.0;3;6;;;;2009;;Ursus;6
76;839000;49.0;2;1;;;;1951;;Mokotów;4
77;;44.0;2;2;;balkon;garaż/miejsce parkingowe;;do wykończenia;Białołęka;8
78;876214;35.05;2;5;615;balkon;;1960;do zamieszkania;Mokotów;6
79;825000;104.0;4;0;;ogródek, taras;garaż/miejsce parkingowe;;do zamieszkania;Śródmieście;1
80;978000;52.0;3;2;;;;1995;do zamieszkania;Praga-Południe;8
81;645000;30.0;1;2;614;;;1956;do zamieszkania;Wola;3
82;939000;64.46;4;4;891;balkon;;1972;do zamieszkania;Mokotów;10
83;996000;71.2;4;2;800;;garaż/miejsce parkingowe;2013;do zamieszkania;Białołęka;2
84;720000;47.6;3;2;;balkon;;1973;do zamieszkania;Praga-Północ;4
85;1731900;75.3;3;0;;balkon, ogródek;garaż/miejsce parkingowe;;do zamieszkania;Wilanów;4
86;1220000;67.28;3;11;850;;garaż/miejsce parkingowe;2010;do zamieszkania;Wola;12
87;905900;57.65;3;0;;ogródek;garaż/miejsce parkingowe;;do wykończenia;Włochy;7
88;1510000;65.0;2;0;1000;balkon, ogródek, taras;;2009;do zamieszkania;Mokotów;6
89;;88.08;4;4;;balkon;garaż/miejsce parkingowe;;do wykończenia;Ursynów;5
90;;63.72;3;0;;ogródek;;;do wykończenia;Wawer;1
91;720000;40.81;2;1;200;balkon;;2024;do wykończenia;Praga-Północ;7
92;607000;43.5;2;;;balkon;;;;Białołęka;
93;650000;40.0;1;;;;;;;Ochota;
94;1360000;96.0;3;0;600;balkon;;1996;do zamieszkania;Targówek;4
95;430000;20.5;1;2;400;balkon;;1960;do zamieszkania;Włochy;3
96;1332100;55.87;2;5;;;garaż/miejsce parkingowe;;do wykończenia;Mokotów;11
97;1155206;73.58;4;2;;balkon;garaż/miejsce parkingowe;;do wykończenia;Praga-Północ;6
98;760000;55.42;3;2;;;;1960;do remontu;Praga-Południe;3
99;1480000;55.24;3;0;;ogródek, taras;garaż/miejsce parkingowe;2020;;Praga-Południe;2
100;1190000;55.29;2;4;680;taras;garaż/miejsce parkingowe;2011;do zamieszkania;Mokotów;4
101;799000;46.0;3;11;810;balkon;;1968;do zamieszkania;Wola;11
102;675000;38.5;2;2;750;balkon;;1975;do zamieszkania;Wola;3
103;1481000;84.57;4;3;;balkon;garaż/miejsce parkingowe;;do wykończenia;Bielany;5
104;1100000;49.73;2;2;;balkon;;1959;do remontu;Żoliborz;3
105;557280;23.22;1;3;;;;1913;do zamieszkania;Śródmieście;6
106;679000;51.1;2;4;;balkon;;1960;do zamieszkania;Praga-Południe;4
107;920000;56.93;3;3;800;balkon;garaż/miejsce parkingowe;2017;do zamieszkania;Białołęka;5
108;1190000;55.29;2;4;680;taras;garaż/miejsce parkingowe;2011;do zamieszkania;Mokotów;4
109;629000;37.0;2;7;700;;;;do zamieszkania;Mokotów;11
110;1172626;49.27;2;2;;balkon;garaż/miejsce parkingowe;2010;do zamieszkania;Wola;7
111;650000;45.81;2;3;540;;;1980;do remontu;Bemowo;10
112;508000;19.0;1;4;;;garaż/miejsce parkingowe;;do zamieszkania;Śródmieście;6
113;1060000;44.46;2;3;850;balkon;garaż/miejsce parkingowe;2015;do zamieszkania;Ochota;6
114;1165000;39.07;2;5;750;balkon;;1910;do zamieszkania;Śródmieście;5
115;940000;46.0;2;7;;balkon;;;;Śródmieście;8
116;655200;36.0;2;2;400;balkon;garaż/miejsce parkingowe;2022;do wykończenia;Włochy;5
117;1140000;38.0;1;0;440;ogródek, taras;garaż/miejsce parkingowe;2022;do zamieszkania;Wola;10
118;850000;45.0;2;6;520;balkon;;;do zamieszkania;Ochota;7
119;742835;58.75;3;0;;taras, ogródek;garaż/miejsce parkingowe;;do wykończenia;Białołęka;5
120;1250000;137.7;5;;;balkon, ogródek, taras;garaż/miejsce parkingowe;;;Białołęka;
121;1285000;99.0;4;9;1345;;garaż/miejsce parkingowe;1995;do zamieszkania;Ochota;9
122;2004000;100.52;4;1;;taras;garaż/miejsce parkingowe;;do wykończenia;Mokotów;8
123;1499000;74.28;3;1;950;balkon;garaż/miejsce parkingowe;2011;do zamieszkania;Mokotów;8
124;850000;55.04;3;1;;balkon, taras;garaż/miejsce parkingowe;2024;do wykończenia;Bemowo;6
125;1041000;86.75;4;0;;ogródek;garaż/miejsce parkingowe;2024;do wykończenia;Targówek;3
126;1027000;60.42;3;5;800;balkon;garaż/miejsce parkingowe;2024;do wykończenia;Bemowo;6
127;789000;53.0;3;1;960;balkon;;1962;;Wola;3
128;825000;52.5;2;5;930;balkon;garaż/miejsce parkingowe;2000;do zamieszkania;Ursynów;5
129;1079000;60.42;3;1;700;taras;garaż/miejsce parkingowe;2024;do wykończenia;Bemowo;6
130;1084180;71.8;3;4;800;balkon;;1958;do zamieszkania;Wola;4
131;750000;48.84;3;1;550;balkon;;2022;do wykończenia;Ursus;7
132;899000;68.15;4;1;;ogródek, balkon;garaż/miejsce parkingowe;;do wykończenia;Wesoła;2
133;925000;46.79;3;7;1000;;garaż/miejsce parkingowe;1968;do zamieszkania;Mokotów;14
134;779000;39.52;2;0;560;ogródek;garaż/miejsce parkingowe;2015;do zamieszkania;Bemowo;6
135;1050000;71.0;3;2;680;balkon;garaż/miejsce parkingowe;2006;do zamieszkania;Białołęka;3
136;519840;27.36;1;4;;balkon;;2025;do wykończenia;Bemowo;5
137;1010000;42.6;2;6;900;balkon;garaż/miejsce parkingowe;2000;do zamieszkania;Wola;7
138;2182000;83.86;4;0;;taras, ogródek;garaż/miejsce parkingowe;;do wykończenia;Żoliborz;7
139;1161000;32.89;1;11;;;garaż/miejsce parkingowe;;do wykończenia;Wola;16
141;756100;44.28;2;0;;ogródek;garaż/miejsce parkingowe;;do wykończenia;Włochy;7
142;999900;41.5;2;0;750;;;1950;do zamieszkania;Mokotów;6
143;869000;49.0;2;2;570;balkon;;2017;do zamieszkania;Bemowo;7
144;1486667;73.78;4;8;1100;balkon;garaż/miejsce parkingowe;2017;;Bielany;14
145;725000;44.0;2;2;750;balkon, taras;;1950;do zamieszkania;Wola;3
146;730000;44.0;2;0;852;;;1949;do zamieszkania;Wola;3
147;1499000;74.28;3;1;950;balkon;garaż/miejsce parkingowe;2011;do zamieszkania;Mokotów;8
148;895000;42.0;2;1;680;balkon;garaż/miejsce parkingowe;2013;do zamieszkania;Bemowo;4
149;1149000;70.07;3;1;;;garaż/miejsce parkingowe;;do wykończenia;Bielany;4
150;987000;103.0;3;;;balkon;;1995;do remontu;Wawer;
151;799000;44.0;2;1;700;balkon;;2003;do zamieszkania;Praga-Południe;6
152;839000;71.74;3;0;;;;2025;;Wawer;1
153;750000;57.1;4;3;800;balkon;;1970;do remontu;Targówek;4
154;;53.37;3;0;;ogródek;garaż/miejsce parkingowe;;do wykończenia;Targówek;3
155;1745000;87.5;3;11;1119;balkon, taras;garaż/miejsce parkingowe;2008;do zamieszkania;Mokotów;12
156;2123000;110.0;4;0;2400;ogródek, taras;garaż/miejsce parkingowe;2009;do remontu;Bielany;2
157;;98.85;4;3;;taras, balkon;garaż/miejsce parkingowe;;do wykończenia;Białołęka;3
158;975398;67.13;3;6;;balkon;garaż/miejsce parkingowe;2024;do wykończenia;Włochy;6
159;871004;53.11;3;4;;;garaż/miejsce parkingowe;;do wykończenia;Praga-Północ;7
160;2449000;92.0;3;0;;ogródek;garaż/miejsce parkingowe;2021;do zamieszkania;Ochota;4
161;;75.86;4;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Bemowo;5
162;;64.0;4;4;;balkon;garaż/miejsce parkingowe;;do wykończenia;Ursus;7
163;;62.86;3;2;;;garaż/miejsce parkingowe;;do wykończenia;Włochy;10
164;;80.06;4;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Bemowo;6
166;;117.88;4;6;;taras, balkon;garaż/miejsce parkingowe;;do wykończenia;Praga-Północ;6
167;;78.75;4;0;;ogródek;garaż/miejsce parkingowe;;do wykończenia;Białołęka;3
168;899000;72.13;3;0;750;balkon;garaż/miejsce parkingowe;2023;do wykończenia;Targówek;4
169;2495000;91.0;3;5;1100;balkon;garaż/miejsce parkingowe;1932;do zamieszkania;Śródmieście;6
170;1880000;96.0;4;4;1300;balkon;garaż/miejsce parkingowe;2005;do zamieszkania;Wola;7
171;1245000;59.15;3;6;794;balkon;garaż/miejsce parkingowe;2014;do zamieszkania;Wola;7
172;1099826;60.43;3;3;;balkon;garaż/miejsce parkingowe;;do wykończenia;Mokotów;11
173;830000;57.0;2;3;760;balkon;garaż/miejsce parkingowe;2007;do zamieszkania;Praga-Południe;4
174;;102.94;4;0;;ogródek;garaż/miejsce parkingowe;;do wykończenia;Ochota;4
175;980750;78.46;4;1;80;balkon, taras;garaż/miejsce parkingowe;2025;;Wesoła;1
176;510000;27.46;1;0;670;ogródek;garaż/miejsce parkingowe;2010;do zamieszkania;Wawer;4
177;775000;40.0;2;0;695;;;1962;do zamieszkania;Mokotów;4
178;1190000;46.3;2;1;520;balkon;;1939;;Praga-Południe;2
179;1249000;82.0;5;3;700;balkon;;2001;;Ursynów;3
180;1144000;52.0;1;6;650;balkon;garaż/miejsce parkingowe;2022;do zamieszkania;Wola;4
181;785000;29.4;2;8;520;balkon;;1972;do zamieszkania;Śródmieście;15
182;910000;54.01;2;8;600;balkon, taras;garaż/miejsce parkingowe;2011;do zamieszkania;Praga-Południe;14
183;770000;38.76;2;1;630;balkon;garaż/miejsce parkingowe;2023;do remontu;Wilanów;4
184;830000;46.4;2;11;840;balkon;;1985;do zamieszkania;Ursynów;12
185;1226758;81.35;4;5;;;garaż/miejsce parkingowe;2024;do wykończenia;Praga-Północ;7
186;450000;23.33;1;0;;;garaż/miejsce parkingowe;1962;do zamieszkania;Wola;4
187;699000;67.1;3;1;;balkon;garaż/miejsce parkingowe;2008;do zamieszkania;Białołęka;3
188;677500;33.9;2;0;673;ogródek;garaż/miejsce parkingowe;2015;do zamieszkania;Mokotów;3
189;1730000;49.0;2;3;1140;balkon;garaż/miejsce parkingowe;2010;do zamieszkania;Śródmieście;4
190;695602;54.69;2;3;;;garaż/miejsce parkingowe;;do wykończenia;Białołęka;5
191;;105.29;5;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Włochy;5
192;915012;61.53;3;5;;;garaż/miejsce parkingowe;;do wykończenia;Ursus;7
193;1000000;55.91;3;3;;;garaż/miejsce parkingowe;;do wykończenia;Bielany;5
194;;50.47;3;2;;balkon;garaż/miejsce parkingowe;;do wykończenia;Włochy;6
195;1150000;70.91;3;0;650;taras;garaż/miejsce parkingowe;;do zamieszkania;Wilanów;4
196;636000;53.4;3;9;1000;balkon;garaż/miejsce parkingowe;1974;do remontu;Targówek;10
197;760000;48.0;3;9;790;balkon;;;do zamieszkania;Praga-Południe;10
198;1850000;68.34;2;7;;;;2009;do zamieszkania;Śródmieście;11
199;;86.0;4;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Włochy;10
200;1142000;66.84;3;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Bielany;8
201;978000;54.81;2;3;;balkon;garaż/miejsce parkingowe;;do wykończenia;Bielany;5
202;1350000;93.0;5;4;;balkon;;1976;do zamieszkania;Mokotów;10
203;668265;44.7;2;2;500;balkon;garaż/miejsce parkingowe;2004;do zamieszkania;Białołęka;3
204;880000;46.4;2;4;500;balkon;garaż/miejsce parkingowe;2008;do zamieszkania;Ursus;7
205;;56.8;4;1;;balkon, ogródek;garaż/miejsce parkingowe;;do wykończenia;Białołęka;8
206;;39.45;2;0;;ogródek;garaż/miejsce parkingowe;;do wykończenia;Targówek;6
207;1052323;75.98;4;0;;ogródek;garaż/miejsce parkingowe;2024;do wykończenia;Włochy;5
208;;76.11;4;2;;balkon;garaż/miejsce parkingowe;;do wykończenia;Ursus;7
209;;76.42;4;6;;;garaż/miejsce parkingowe;;do wykończenia;Wola;8
210;1675000;76.3;3;2;1100;balkon;garaż/miejsce parkingowe;2012;do zamieszkania;Mokotów;6
211;1899000;65.46;2;1;1000;taras;;2012;do zamieszkania;Mokotów;8
212;530000;28.08;1;7;460;balkon;garaż/miejsce parkingowe;1976;do zamieszkania;Wola;10
213;543414;44.18;3;0;;balkon, ogródek, taras;garaż/miejsce parkingowe;2025;do wykończenia;Białołęka;2
214;666361;58.97;3;1;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Białołęka;2
215;530160;44.18;3;1;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Białołęka;2
216;957000;66.21;3;1;800;balkon;garaż/miejsce parkingowe;2018;do zamieszkania;Ursus;2
217;638522;63.22;4;1;;balkon, taras;garaż/miejsce parkingowe;2024;do wykończenia;Białołęka;2
218;754816;58.97;3;0;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Białołęka;2
219;670272;34.91;2;5;;balkon;;2024;do wykończenia;Bemowo;5
220;607400;58.97;3;1;;balkon, taras;garaż/miejsce parkingowe;2024;do wykończenia;Białołęka;2
221;549000;24.24;2;3;598;;;;do zamieszkania;Wola;5
222;1118000;82.0;4;4;900;balkon;garaż/miejsce parkingowe;2005;do zamieszkania;Białołęka;5
223;607400;58.97;3;0;;balkon, ogródek, taras;garaż/miejsce parkingowe;2024;do wykończenia;Białołęka;2
224;1079000;60.42;3;1;700;taras;garaż/miejsce parkingowe;2024;do wykończenia;Bemowo;6
225;795000;36.0;2;8;560;;garaż/miejsce parkingowe;1965;do zamieszkania;Wola;10
226;799000;75.0;4;0;;ogródek, taras;garaż/miejsce parkingowe;2025;do wykończenia;Wawer;1
227;2357535;111.42;5;9;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Mokotów;9
228;946000;53.88;2;4;;;garaż/miejsce parkingowe;;do wykończenia;Bielany;5
229;1460000;60.75;3;0;;taras, ogródek;garaż/miejsce parkingowe;;do wykończenia;Żoliborz;7
230;749056;74.65;3;0;;ogródek, taras;garaż/miejsce parkingowe;2025;do wykończenia;Białołęka;3
231;;76.42;4;5;;;garaż/miejsce parkingowe;;do wykończenia;Wola;8
232;670000;37.9;2;2;630;;;1971;do zamieszkania;Targówek;10
233;694469;27.83;1;;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Mokotów;
234;636000;47.0;3;3;;balkon;garaż/miejsce parkingowe;;do remontu;Targówek;10
235;716000;37.7;2;5;500;taras;;2004;do zamieszkania;Ursynów;5
236;859734;33.74;2;9;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Mokotów;9
237;4600000;77.0;2;11;;;garaż/miejsce parkingowe;;;Śródmieście;
238;3980000;57.0;2;11;;;garaż/miejsce parkingowe;;;Śródmieście;
239;11000000;160.0;4;11;;;garaż/miejsce parkingowe;;;Śródmieście;
240;1329590;62.23;3;8;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Mokotów;9
241;735540;56.58;3;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Bielany;2
242;859000;71.5;3;7;;;;1978;do remontu;Praga-Południe;11
243;699000;47.0;2;4;;balkon;garaż/miejsce parkingowe;1970;do zamieszkania;Targówek;4
244;929000;64.0;3;2;353;balkon;garaż/miejsce parkingowe;2019;do zamieszkania;Wawer;2
245;2728000;155.9;5;3;;balkon;garaż/miejsce parkingowe;1999;do zamieszkania;Ochota;4
246;865000;52.2;3;2;;;garaż/miejsce parkingowe;1954;do zamieszkania;Wola;5
247;699900;53.4;2;6;1074;balkon;;2004;do zamieszkania;Białołęka;8
248;845000;56.3;3;7;600;balkon;garaż/miejsce parkingowe;2008;do zamieszkania;Ursus;7
249;885000;50.01;2;2;;balkon;garaż/miejsce parkingowe;2006;do zamieszkania;Bemowo;6
250;750000;38.1;2;0;650;;;1975;do zamieszkania;Mokotów;12
251;1032746;42.99;2;;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Mokotów;
252;876214;35.05;2;5;615;balkon;;1960;do zamieszkania;Mokotów;6
253;1281364;69.7;3;;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Mokotów;
254;;58.58;3;0;;ogródek;garaż/miejsce parkingowe;;do wykończenia;Ursus;7
255;1273899;56.99;1;;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Mokotów;
256;1839140;99.44;4;;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Mokotów;
257;1150000;84.0;3;6;1320;balkon;;1982;do zamieszkania;Praga-Południe;19
258;515000;32.0;1;0;400;ogródek;;2008;do zamieszkania;Białołęka;3
259;3858000;143.0;5;6;;balkon, taras;garaż/miejsce parkingowe;;do zamieszkania;Ochota;6
260;998000;40.0;2;;;balkon, taras;garaż/miejsce parkingowe;2023;do zamieszkania;Praga-Południe;
261;990000;67.14;3;3;;balkon, taras;garaż/miejsce parkingowe;2006;do zamieszkania;Bemowo;3
262;1026660;48.2;2;10;;balkon;;1970;do zamieszkania;Wola;10
263;1600000;73.13;3;1;1500000;balkon;;2017;do zamieszkania;Wilanów;4
264;1460590;67.9;4;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Mokotów;5
265;1249000;70.71;3;0;1100;taras;garaż/miejsce parkingowe;2004;do zamieszkania;Ursynów;6
266;850000;49.0;2;6;700;balkon;garaż/miejsce parkingowe;2008;do zamieszkania;Praga-Południe;12
267;679000;49.55;2;0;821;taras;garaż/miejsce parkingowe;2010;do zamieszkania;Białołęka;5
268;618000;45.9;2;3;;balkon;;1969;do remontu;Bielany;10
269;848148;52.68;3;1;;;garaż/miejsce parkingowe;;do wykończenia;Praga-Północ;7
270;1160000;35.0;2;1;500;;;2023;do zamieszkania;Wola;16
271;1127950;87.71;4;1;;taras;garaż/miejsce parkingowe;;do wykończenia;Ursus;7
272;960000;48.06;2;0;750;;;1958;do zamieszkania;Mokotów;4
273;1599000;68.6;2;6;;;;2008;do zamieszkania;Śródmieście;14
274;1247683;58.78;3;;;balkon, ogródek, taras;garaż/miejsce parkingowe;2025;do wykończenia;Mokotów;
275;1400000;89.49;4;1;;balkon;garaż/miejsce parkingowe;2024;do wykończenia;Wawer;2
276;820000;51.52;3;2;;balkon;;;;Wola;3
277;1555000;64.8;3;5;700;balkon;garaż/miejsce parkingowe;2018;do zamieszkania;Ursynów;6
278;914000;67.5;3;1;790;balkon, taras;garaż/miejsce parkingowe;2025;;Wawer;5
279;1001111;67.95;3;5;790;balkon, ogródek, taras;garaż/miejsce parkingowe;2025;;Wawer;5
280;2300000;72.0;1;4;;;;2010;do zamieszkania;Śródmieście;14
281;990000;64.0;4;5;1000;balkon;;;do zamieszkania;Praga-Południe;12
282;575000;26.7;2;5;600;;;1969;do zamieszkania;Wola;15
283;890000;66.3;3;3;;balkon;garaż/miejsce parkingowe;2001;do zamieszkania;Białołęka;3
284;615000;31.0;1;9;440;;;1976;;Mokotów;11
285;699000;66.9;3;3;800;balkon;garaż/miejsce parkingowe;2009;do zamieszkania;Białołęka;3
286;1242000;49.66;2;1;;;garaż/miejsce parkingowe;;do wykończenia;Żoliborz;4
287;799000;46.0;3;5;;balkon;;1980;do zamieszkania;Bemowo;10
288;1445000;58.91;2;4;572;balkon;garaż/miejsce parkingowe;2014;do zamieszkania;Mokotów;5
289;635000;48.0;2;4;;balkon;;1976;do remontu;Mokotów;11
290;823000;42.36;2;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Bielany;8
291;672000;37.8;2;1;650;balkon;;1968;do remontu;Mokotów;11
292;1611500;103.61;4;3;;balkon, taras;garaż/miejsce parkingowe;2026;do wykończenia;Bemowo;3
293;;82.44;4;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Ursus;7
294;601404;43.58;2;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Bielany;3
295;1306100;79.64;4;3;;balkon, taras;garaż/miejsce parkingowe;2026;do wykończenia;Bemowo;3
296;825000;104.0;4;0;;ogródek, taras;garaż/miejsce parkingowe;;do zamieszkania;Śródmieście;1
297;950000;50.3;3;11;780;;;1978;do zamieszkania;Bemowo;11
298;835000;41.0;2;4;700;balkon;;2011;do zamieszkania;Bemowo;5
299;3799369;180.0;4;;;balkon, taras;garaż/miejsce parkingowe;2000;do zamieszkania;Mokotów;
300;876214;35.05;2;5;615;balkon;;1960;do zamieszkania;Mokotów;6
301;649000;38.08;2;5;;;;2024;do wykończenia;Włochy;8
302;899000;47.0;2;1;600;balkon, ogródek;;2015;do zamieszkania;Ursynów;6
303;690000;37.58;2;2;;;;;;Bielany;4
304;;43.73;2;0;;taras, ogródek;garaż/miejsce parkingowe;;do wykończenia;Mokotów;7
305;999000;50.36;2;0;;;;1954;do remontu;Śródmieście;3
306;;57.96;3;1;;;garaż/miejsce parkingowe;;do wykończenia;Białołęka;3
307;790000;65.2;3;0;;taras;garaż/miejsce parkingowe;;do wykończenia;Wawer;1
308;651665;65.21;2;1;;balkon;garaż/miejsce parkingowe;2025;do wykończenia;Białołęka;3
309;1080000;66.2;3;8;737;balkon;;1985;;Bemowo;11
310;2250000;90.0;4;6;1000;balkon;garaż/miejsce parkingowe;2022;do zamieszkania;Mokotów;7
311;1390000;64.0;2;1;922;balkon;;;do zamieszkania;Śródmieście;3
312;649000;42.2;2;8;655;;;1973;do remontu;Mokotów;10
