id;price;area;rooms;floor;rent;outdoor;parking;build_year;status;district;max_floor
4423;3978800;142.1;8;3;;balkon, taras;garaż/miejsce parkingowe;2026;do wykończenia;Ochota;3
4424;900000;56.32;3;4;1200;;;2007;do remontu;Praga-Południe;15
4425;1241280;51.7;2;1;;balkon;garaż/miejsce parkingowe;2026;do wykończenia;Ochota;3
4426;680000;51.0;3;4;670;balkon;garaż/miejsce parkingowe;1960;do remontu;Praga-Południe;4
4427;880000;46.2;3;0;660;;garaż/miejsce parkingowe;1967;do zamieszkania;Mokotów;11
4428;699000;31.0;1;4;450;;garaż/miejsce parkingowe;1932;do wykończenia;Żoliborz;5
4429;890000;45.0;2;1;600;balkon, taras;;2021;do zamieszkania;Wilanów;2
4430;825200;165.04;1;5;;;;1906;;Śródmieście;5
4431;798000;54.0;2;5;600;balkon, taras;garaż/miejsce parkingowe;2006;do zamieszkania;Bemowo;6
4432;636000;43.29;2;3;450;balkon;garaż/miejsce parkingowe;2024;;Ursus;7
4433;1650000;74.0;4;3;1400;balkon;garaż/miejsce parkingowe;;do zamieszkania;Ursynów;3
4434;863000;64.0;3;1;;balkon;garaż/miejsce parkingowe;2024;;Targówek;7
4435;819000;60.0;3;1;;balkon;garaż/miejsce parkingowe;2024;;Ursus;7
4436;934000;60.0;3;1;;balkon;garaż/miejsce parkingowe;2024;;Mokotów;7
4437;685000;59.0;3;6;800;balkon;garaż/miejsce parkingowe;2001;do wykończenia;Ursus;7
4438;900000;46.93;2;0;;ogródek, taras;garaż/miejsce parkingowe;2019;;Ursynów;3
4439;950000;64.2;3;2;;balkon;;1990;;Targówek;8
4440;700000;38.25;2;;;;;1926;do zamieszkania;Wola;
4441;2950000;156.0;4;4;;;;1897;;Praga-Północ;4
4442;738740;42.95;2;2;;balkon;garaż/miejsce parkingowe;2023;do wykończenia;Praga-Północ;7
4443;1064758;60.67;3;6;;balkon;garaż/miejsce parkingowe;2023;do wykończenia;Praga-Północ;7
4444;892320;53.78;2;5;;balkon;garaż/miejsce parkingowe;;do wykończenia;Praga-Południe;5
4445;;155.39;3;3;;balkon;garaż/miejsce parkingowe;;do wykończenia;Ochota;4
4446;1149000;70.07;3;1;;;garaż/miejsce parkingowe;;do wykończenia;Bielany;4
4447;895000;56.0;2;1;;;garaż/miejsce parkingowe;2012;do zamieszkania;Białołęka;2
4448;665600;35.05;1;5;;taras;garaż/miejsce parkingowe;;do wykończenia;Praga-Południe;5
4449;580000;31.33;1;3;452;balkon;garaż/miejsce parkingowe;2008;do zamieszkania;Bemowo;10
4450;648000;48.0;3;4;;balkon;;1975;do zamieszkania;Ursus;4
4451;677000;42.4;2;3;680;balkon;;1980;do zamieszkania;Ursynów;7
4452;1375000;120.0;4;;560;taras, balkon, ogródek;garaż/miejsce parkingowe;2006;do wykończenia;Piaseczno;
4453;499110;39.3;2;1;566;;garaż/miejsce parkingowe;1990;do zamieszkania;Białołęka;3
4454;1399000;70.0;2;3;650;;;;;Mokotów;3
4455;870000;29.0;1;2;590;;;1950;do zamieszkania;Śródmieście;3
4456;1600000;76.0;3;4;1400;;;1935;do remontu;Ursynów;5
4457;629000;29.5;1;4;750;balkon;garaż/miejsce parkingowe;2008;do zamieszkania;Wola;5
4458;2790000;82.47;3;1;1060;;garaż/miejsce parkingowe;1938;do zamieszkania;Śródmieście;4
4459;1750000;61.0;2;5;1000;;;1950;do zamieszkania;Śródmieście;5
4460;1500000;81.0;3;1;1300;balkon;garaż/miejsce parkingowe;2018;do zamieszkania;Wilanów;4
4461;2690000;115.0;4;8;;;garaż/miejsce parkingowe;2001;do zamieszkania;Śródmieście;11
4462;799000;47.5;3;2;810;balkon;;1969;do remontu;Żoliborz;10
4463;1500000;49.88;2;1;1122;;;1914;do zamieszkania;Śródmieście;5
4464;1200000;65.7;3;6;1120;balkon;;2008;do zamieszkania;Ochota;8
4465;1050000;40.89;2;0;800;balkon;;1956;do zamieszkania;Śródmieście;4
4466;2600000;98.7;3;1;;balkon;garaż/miejsce parkingowe;2008;do zamieszkania;Śródmieście;8
4467;787360;41.47;2;1;700;;;;;Ursynów;5
4468;620000;37.0;2;2;600;;garaż/miejsce parkingowe;1968;do zamieszkania;Żoliborz;10
4469;884450;36.1;2;11;710;balkon;garaż/miejsce parkingowe;2005;do zamieszkania;Wola;30
4470;2300000;72.0;1;4;800;balkon;;2010;do zamieszkania;Śródmieście;14
4471;639000;37.0;2;1;640;;;1968;do zamieszkania;Żoliborz;10
4472;2600000;146.46;7;11;1500;;garaż/miejsce parkingowe;1972;do remontu;Mokotów;18
4473;3100000;62.0;2;9;;;garaż/miejsce parkingowe;;do zamieszkania;Śródmieście;52
4474;470000;49.0;2;3;646;balkon;;1968;do remontu;Wawer;4
4475;669000;42.0;2;8;800;balkon;;1973;do zamieszkania;Bielany;10
4477;670000;30.0;1;0;530;;;1931;;Wola;3
4478;849900;34.0;1;2;540;;;1950;do zamieszkania;Śródmieście;6
4479;736250;48.0;2;6;855;balkon;;1983;do zamieszkania;Ursynów;8
4480;583000;33.0;1;0;;;garaż/miejsce parkingowe;1970;do zamieszkania;Praga-Południe;1
4481;1160000;54.0;2;3;740;balkon, taras;garaż/miejsce parkingowe;2013;do zamieszkania;Wilanów;4
4482;828000;46.91;2;2;898;;;1928;do remontu;Ochota;4
4483;1390000;77.0;3;6;1000;;;1950;do remontu;Żoliborz;6
4484;980750;78.46;4;1;80;balkon, taras;garaż/miejsce parkingowe;2025;;Wesoła;1
4485;601404;43.58;2;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Bielany;3
4486;775000;32.0;2;7;;balkon;;;;Bemowo;8
4487;840000;57.0;3;11;850;balkon;garaż/miejsce parkingowe;1976;do zamieszkania;Mokotów;15
4488;1250000;59.0;3;2;;balkon;;2015;do zamieszkania;Praga-Południe;5
4489;599000;36.25;2;0;680;;;1962;do zamieszkania;Praga-Południe;3
4490;965000;56.8;3;6;850;balkon;;1978;do zamieszkania;Mokotów;15
4491;769000;46.8;2;4;815;balkon;;1971;do zamieszkania;Żoliborz;4
4492;703000;34.3;1;1;;balkon;;2025;do wykończenia;Bielany;4
4493;684000;29.09;1;4;;balkon;;2025;do wykończenia;Bielany;4
4494;695000;34.68;1;1;;balkon;;2025;do wykończenia;Bielany;4
4495;728000;48.0;2;8;1000;balkon;;1980;;Ursynów;10
4496;875000;43.79;2;0;;balkon, ogródek, taras;garaż/miejsce parkingowe;2023;do zamieszkania;Włochy;7
4497;985000;63.0;4;0;1000;balkon;garaż/miejsce parkingowe;1894;;Bemowo;8
4498;1325000;93.0;5;4;1500;balkon;;1975;do remontu;Mokotów;10
4499;2850000;92.0;4;1;2250;balkon;garaż/miejsce parkingowe;2005;do zamieszkania;Praga-Południe;4
4500;529300;27.0;1;1;;balkon;;2026;do wykończenia;Bemowo;3
4501;930800;36.81;2;1;;;garaż/miejsce parkingowe;2023;do zamieszkania;Wola;8
4502;1070000;165.0;5;1;130;balkon;garaż/miejsce parkingowe;2019;do zamieszkania;Wawer;2
4503;939000;56.0;2;11;970;balkon;garaż/miejsce parkingowe;2004;do zamieszkania;Praga-Południe;12
4504;498000;37.54;2;2;270;balkon;garaż/miejsce parkingowe;2024;do wykończenia;Białołęka;2
4505;570000;47.0;3;0;620;;;1967;;Wawer;4
4506;2600000;137.0;5;4;1500;balkon, taras;garaż/miejsce parkingowe;2005;do zamieszkania;Wilanów;4
4507;1300000;75.0;3;0;720;balkon;;1958;do zamieszkania;Żoliborz;4
4508;810810;69.3;3;4;750;balkon;;1993;do zamieszkania;Włochy;5
4509;1185000;62.57;2;0;;ogródek;garaż/miejsce parkingowe;2025;do wykończenia;Wilanów;4
4510;705000;47.5;2;8;700;balkon;;1976;do remontu;Mokotów;10
4511;674000;55.0;2;4;630;;garaż/miejsce parkingowe;2002;;Bielany;4
4512;880000;64.7;3;0;900;ogródek;;1980;do zamieszkania;Bemowo;4
4513;1070000;81.0;3;3;1200;balkon;;1938;do zamieszkania;Praga-Południe;3
4514;629000;47.5;3;9;1100;balkon;;1972;do zamieszkania;Targówek;10
4515;1680000;98.64;3;1;;balkon, taras;garaż/miejsce parkingowe;;do zamieszkania;Wilanów;3
4516;1035000;51.8;3;1;700;balkon;;1949;do remontu;Mokotów;3
4517;550000;30.03;2;7;;balkon;garaż/miejsce parkingowe;2023;;Ursus;8
4518;659000;35.0;2;2;;;;1939;;Włochy;3
4519;750000;50.6;2;8;757;balkon;;1980;do remontu;Praga-Południe;10
4520;415000;18.1;1;6;350;;;1969;do zamieszkania;Ochota;10
4521;995000;67.9;4;4;700;balkon;;1959;do remontu;Wola;4
4522;2635000;98.0;4;2;1700;balkon;garaż/miejsce parkingowe;2015;do zamieszkania;Żoliborz;9
4523;910000;54.01;2;8;600;balkon, taras;garaż/miejsce parkingowe;2011;do zamieszkania;Praga-Południe;14
4524;703067;35.33;2;1;;balkon;garaż/miejsce parkingowe;2024;;Ursynów;4
4525;960000;55.5;3;4;801;balkon;;1950;do remontu;Ochota;10
4526;1039000;59.92;3;10;;balkon;garaż/miejsce parkingowe;1985;do zamieszkania;Praga-Południe;12
4527;1280000;52.0;2;2;540;balkon;;1954;;Mokotów;3
4528;1075000;49.0;2;0;300;ogródek, taras;garaż/miejsce parkingowe;2018;do zamieszkania;Wilanów;2
4529;3220000;92.0;3;;1600;;;;;Żoliborz;
4530;920000;62.0;3;2;;;;;;Bemowo;10
4531;899000;28.82;1;4;;balkon;garaż/miejsce parkingowe;2023;do zamieszkania;Mokotów;7
4532;1150000;50.14;2;;;;;2018;do zamieszkania;Mokotów;
4533;1150000;60.0;3;5;;balkon;garaż/miejsce parkingowe;2020;do zamieszkania;Mokotów;6
4535;;50.01;3;4;;balkon;garaż/miejsce parkingowe;;do wykończenia;Ursynów;6
4536;900000;55.77;3;2;750;;garaż/miejsce parkingowe;2013;do zamieszkania;Bemowo;3
4537;1099000;68.0;2;4;890;balkon;garaż/miejsce parkingowe;2001;do zamieszkania;Praga-Południe;4
4538;560000;26.7;2;4;450;;garaż/miejsce parkingowe;1966;do zamieszkania;Śródmieście;15
4539;2030500;85.0;3;3;800;;;1930;;Praga-Południe;3
4540;;66.21;3;2;;;garaż/miejsce parkingowe;;do wykończenia;Bemowo;5
4541;;46.21;2;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Mokotów;7
4542;;67.24;3;1;;balkon;garaż/miejsce parkingowe;;do wykończenia;Wawer;5
4543;1270000;64.0;3;4;890;;garaż/miejsce parkingowe;1950;do wykończenia;Mokotów;5
4544;;32.91;1;2;;balkon;garaż/miejsce parkingowe;;do wykończenia;Mokotów;2
4545;1049000;50.0;2;10;;;;2008;;Ursynów;12
4546;1140000;69.3;3;3;897;balkon;garaż/miejsce parkingowe;2020;;Praga-Południe;6
4547;499000;32.4;1;2;790;balkon;;1975;do zamieszkania;Targówek;10
4548;1700000;80.0;3;1;850;balkon;garaż/miejsce parkingowe;1954;do zamieszkania;Ochota;5
4549;1299300;71.0;3;3;1000;balkon;garaż/miejsce parkingowe;2019;do zamieszkania;Bemowo;3
4550;650000;36.82;2;0;;ogródek;garaż/miejsce parkingowe;;;Targówek;2
4551;799999;46.14;2;;847;;;;do zamieszkania;Praga-Południe;
4552;799000;41.0;1;0;450;ogródek;;2008;do zamieszkania;Wilanów;2
4553;1259078;67.05;3;3;;;;2025;;Mokotów;9
4554;1250000;57.0;2;1;;;;2008;do zamieszkania;Wilanów;2
4555;530000;30.5;2;5;600;;;2013;do zamieszkania;Praga-Południe;6
4556;1538000;81.0;4;2;730;balkon;;1930;do zamieszkania;Praga-Południe;2
4557;527642;38.08;2;5;;;;2024;do wykończenia;Włochy;8
4558;895000;56.0;2;1;;;garaż/miejsce parkingowe;2012;do zamieszkania;Białołęka;2
4559;1030000;36.3;2;8;;balkon;;1964;do zamieszkania;Wola;11
4560;569000;44.0;2;0;500;;;1960;do wykończenia;Ursynów;9
4561;1390000;148.3;5;2;700;balkon;garaż/miejsce parkingowe;2002;do zamieszkania;Wesoła;2
4562;950560;65.22;3;3;;taras;garaż/miejsce parkingowe;;do wykończenia;Białołęka;3
4563;749000;31.75;2;6;500;balkon;garaż/miejsce parkingowe;2023;do zamieszkania;Bemowo;6
4564;10500000;168.7;4;11;;;garaż/miejsce parkingowe;2017;do zamieszkania;Śródmieście;52
4565;899899;54.0;3;3;500;balkon;garaż/miejsce parkingowe;2024;do zamieszkania;Białołęka;3
4566;749000;41.62;2;2;;balkon;garaż/miejsce parkingowe;2010;do zamieszkania;Bemowo;7
4567;739000;45.0;2;4;625;balkon;garaż/miejsce parkingowe;2002;do wykończenia;Bemowo;8
4568;1085000;65.52;2;6;;;;1955;do zamieszkania;Ochota;6
4569;;36.85;2;3;;balkon;garaż/miejsce parkingowe;;do wykończenia;Białołęka;3
4570;960000;43.0;2;1;1000;balkon;garaż/miejsce parkingowe;;do zamieszkania;Wilanów;4
4571;1090000;60.0;3;2;680;;;1974;do remontu;Wola;11
4572;840000;52.0;2;6;;balkon;;1978;do zamieszkania;Bemowo;10
4573;1165000;78.24;4;1;;balkon;garaż/miejsce parkingowe;2014;do wykończenia;Bielany;2
4574;1680000;110.0;4;2;;balkon;garaż/miejsce parkingowe;1994;do zamieszkania;Ursynów;2
4575;998000;62.0;3;0;1000;balkon;;1980;do zamieszkania;Mokotów;3
4576;549000;37.0;2;;;;;1963;;Praga-Północ;
4577;2995000;167.0;4;11;2100;;garaż/miejsce parkingowe;;;Wola;11
4578;1300000;58.0;3;7;800;balkon;;1968;do zamieszkania;Śródmieście;9
4579;845000;48.0;3;4;;balkon;;1970;do zamieszkania;Mokotów;10
4580;1029000;42.1;2;3;590;balkon;garaż/miejsce parkingowe;2016;do zamieszkania;Mokotów;8
4581;1100000;61.52;3;2;793;balkon;garaż/miejsce parkingowe;2015;do zamieszkania;Praga-Południe;4
4582;510000;27.46;1;0;600;;garaż/miejsce parkingowe;2010;do zamieszkania;Wawer;3
4583;817000;45.0;3;4;650;balkon;;1980;do remontu;Wola;9
4584;2100000;84.51;4;2;;balkon;garaż/miejsce parkingowe;2024;do zamieszkania;Wilanów;5
4585;1960000;74.0;3;8;1120;balkon;garaż/miejsce parkingowe;2013;do zamieszkania;Żoliborz;9
4586;669000;39.42;2;1;693;;;1964;do remontu;Praga-Południe;3
4587;681000;43.88;2;1;;;;2018;do zamieszkania;Białołęka;3
4588;470000;48.5;2;4;646;balkon;;1968;do remontu;Wawer;4
4589;1690000;90.0;3;0;1200;balkon, ogródek, taras;garaż/miejsce parkingowe;2013;do zamieszkania;Wilanów;4
4590;499000;28.62;1;3;394;;;1939;do zamieszkania;Włochy;3
4591;761600;59.89;3;1;450;balkon, taras;garaż/miejsce parkingowe;2023;do wykończenia;Białołęka;3
4592;1890000;108.0;5;0;1100;;;1939;;Praga-Południe;2
4593;;29.88;1;2;;balkon;garaż/miejsce parkingowe;;do wykończenia;Ursynów;5
4594;1200000;65.0;4;1;800;balkon, taras;garaż/miejsce parkingowe;2018;do zamieszkania;Praga-Południe;7
4595;695000;34.68;1;1;;ogródek;garaż/miejsce parkingowe;2025;;Bielany;4
4596;1299000;39.03;2;6;;;;2024;do wykończenia;Wola;29
4597;;32.61;1;0;;taras, ogródek;garaż/miejsce parkingowe;;do wykończenia;Mokotów;8
4598;1075000;60.2;3;5;1000;balkon;garaż/miejsce parkingowe;2006;do zamieszkania;Bielany;4
4599;799000;53.46;3;2;700;;;1970;do remontu;Wola;3
4600;910000;54.0;2;3;950;balkon;garaż/miejsce parkingowe;2020;do zamieszkania;Ursus;3
4601;779000;40.0;1;6;270;;;1962;do zamieszkania;Śródmieście;6
4602;1299000;77.0;3;1;800;;;1935;do zamieszkania;Ochota;4
4603;690000;46.4;2;3;680;balkon;;1976;do zamieszkania;Targówek;10
4604;1099000;62.56;3;1;710;balkon;garaż/miejsce parkingowe;2006;do zamieszkania;Ursynów;5
4605;980000;45.66;2;3;;balkon;garaż/miejsce parkingowe;;do zamieszkania;Ursus;4
