id;price;area;rooms;floor;rent;outdoor;parking;build_year;status;address
1;1 070 000 zł;59,5 m²;2;8/11;;;;2000;;ul. Ludwika Kondratowicza, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie
2;Zapytaj o cenę;38,04 m²;2;parter/5;;ogródek;garaż/miejsce parkingowe;;do wykończenia;ul. Bokserska, Wyczółki, Ursynów, Warszawa, mazowieckie
3;1 700 000 zł;67,44 m²;3;3/3;;balkon;garaż/miejsce parkingowe;brak informacji;do zamieszkania;ul. Franciszka Klimczaka16, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie
4;933 000 zł;46 m²;2;9;600 zł;balkon;;brak informacji;;al. Aleja Jana Pawła II 72, Muranów, Śródmieście, Warszawa, mazowieckie
5;Zapytaj o cenę;80,74 m²;4;parter/10;;taras, ogródek;garaż/miejsce parkingowe;;do wykończenia;ul. Rembielińska, Bródno, Targówek, Warszawa, mazowieckie
6;330 000 zł;16,14 m²;1;1/3;630 zł;;;1933;do zamieszkania;ul. Łochowska, Szmulowizna, Praga-Północ, Warszawa, mazowieckie
7;659 000 zł;33 m²;2;5/5;500 zł;balkon;;1936;do zamieszkania;ul. Białostocka, Szmulowizna, Praga-Północ, Warszawa, mazowieckie
8;1 077 000 zł;82,87 m²;4;;80 zł;;garaż/miejsce parkingowe;2025;;Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie
9;1 289 000 zł;49 m²;2;5/6;699 zł;;;1952;do zamieszkania;pl. Plac Konstytucji, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie
10;Zapytaj o cenę;32,11 m²;1;2/8;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Redutowa, Ulrychów, Wola, Warszawa, mazowieckie
10;Zapytaj o cenę;32,11 m²;1;2/8;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Redutowa, Ulrychów, Wola, Warszawa, mazowieckie
11;610 000 zł;27 m²;1;1/4;650 zł;;garaż/miejsce parkingowe;1966;do zamieszkania;al. Aleja Niepodległości, Ksawerów, Mokotów, Warszawa, mazowieckie
12;1 031 745 zł;61,05 m²;3;2/11;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Powsińska, Sadyba, Mokotów, Warszawa, mazowieckie
13;779 000 zł;67,1 m²;3;4/4;1 350 zł;balkon;;1999;do zamieszkania;Dąbrówka Szlachecka, Białołęka, Warszawa, mazowieckie
14;2 360 000 zł;108 m²;3;4/5;1 500 zł;balkon;;1938;do zamieszkania;al. Aleja Niepodległości, Stary Mokotów, Mokotów, Warszawa, mazowieckie
15;499 000 zł;28 m²;2;4/4;600 zł;balkon;garaż/miejsce parkingowe;2002;do zamieszkania;Grodzisk, Białołęka, Warszawa, mazowieckie
16;1 990 000 zł;87,31 m²;3;5/5;1 300 zł;balkon;garaż/miejsce parkingowe;2016;do zamieszkania;ul. Przasnyska, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
17;1 100 000 zł;49,93 m²;2;2/5;;balkon;;1952;;al. Aleja Niepodległości, Stary Mokotów, Mokotów, Warszawa, mazowieckie
18;550 000 zł;31,79 m²;1;3/4;700 zł;balkon;;1960;;ul. Jana Kasprowicza, Stare Bielany, Bielany, Warszawa, mazowieckie
19;748 000 zł;33,74 m²;1;4/7;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Stefana Okrzei, Stara Praga, Praga-Północ, Warszawa, mazowieckie
20;1 159 000 zł;84,37 m²;4;1/3;1 294 zł;balkon;;1993;;ul. Sosnowiecka 36, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie
21;1 360 000 zł;68 m²;3;> 10/11;;;;2001;do zamieszkania;Ksawerów, Mokotów, Warszawa, mazowieckie
22;2 400 000 zł;103 m²;4;2/2;1 600 zł;balkon, ogródek;garaż/miejsce parkingowe;1955;do wykończenia;ul. Paryska, Saska Kępa, Praga-Południe, Warszawa, mazowieckie
23;1 522 500 zł;87 m²;3;parter/2;1 000 zł;balkon;;1986;do zamieszkania;ul. Wiktorii Wiedeńskiej, Wilanów Wysoki, Wilanów, Warszawa, mazowieckie
24;745 000 zł;33 m²;1;1;;balkon, taras;;2019;do zamieszkania;Ulrychów, Wola, Warszawa, mazowieckie
25;1 580 000 zł;115 m²;5;4/5;1 400 zł;balkon;garaż/miejsce parkingowe;1990;do zamieszkania;ul. Ostrobramska, Grochów, Praga-Południe, Warszawa, mazowieckie
26;760 000 zł;41,78 m²;2;1/2;;balkon;;1953;;ul. Stępińska, Sielce, Mokotów, Warszawa, mazowieckie
27;879 000 zł;45,36 m²;2;1/3;643 zł;;garaż/miejsce parkingowe;2015;do zamieszkania;"ul. Batalionu AK ""Karpaty"", Czerniaków, Mokotów, Warszawa, mazowieckie"
28;960 262 zł;68,92 m²;3;7/7;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Kazimierza Gierdziejewskiego, Szamoty, Ursus, Warszawa, mazowieckie
29;860 000 zł;68,8 m²;3;3/10;;balkon;;1979;do remontu;ul. Ostrobramska, Gocław, Praga-Południe, Warszawa, mazowieckie
30;3 807 000 zł;126,87 m²;5;7/7;;;garaż/miejsce parkingowe;;do wykończenia;ul. Anny German, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
31;778 000 zł;62,3 m²;3;3/4;;balkon;;1977;do zamieszkania;Niedźwiadek, Niedźwiadek, Ursus, Warszawa, mazowieckie
32;1 850 000 zł;100 m²;4;7/7;1 300 zł;taras;garaż/miejsce parkingowe;2006;do zamieszkania;Forty Bema, Osmańczyka 8,, Fort Bema, Bemowo, Warszawa, mazowieckie
33;1 920 000 zł;74,47 m²;3;4/5;;;;brak informacji;do zamieszkania;Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
34;Zapytaj o cenę;62,86 m²;3;1/10;;;garaż/miejsce parkingowe;;do wykończenia;al. Aleja Krakowska, Raków, Włochy, Warszawa, mazowieckie
35;630 000 zł;38,5 m²;2;1/4;612,66 zł;balkon;garaż/miejsce parkingowe;1972;do zamieszkania;ul. Żuromińska, Bródno, Targówek, Warszawa, mazowieckie
36;783 000 zł;36,5 m²;1;3/5;540 zł;balkon;;2016;do zamieszkania;ul. Brzeska, Stara Praga, Praga-Północ, Warszawa, mazowieckie
37;1 180 000 zł;85,5 m²;4;4/4;880 zł;;garaż/miejsce parkingowe;1999;do remontu;al. Aleja Komisji Edukacji Narodowej 95, Ursynów Północny, Ursynów, Warszawa, mazowieckie
38;665 000 zł;36 m²;2;3/4;480 zł;balkon;;1936;do zamieszkania;ul. Grochowska, Grochów, Praga-Południe, Warszawa, mazowieckie
39;2 357 535,78 zł;111,42 m²;5;9/9;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Służewiec, Mokotów, Warszawa, mazowieckie
40;877 200 zł;48,73 m²;2;parter/3;;balkon, taras;garaż/miejsce parkingowe;2026;do wykończenia;Chrzanów, Bemowo, Warszawa, mazowieckie
41;1 030 000 zł;79,4 m²;3;1/4;1 100 zł;balkon;garaż/miejsce parkingowe;2011;do zamieszkania;ul. Mazowiecka, Stara Miłosna, Wesoła, Warszawa, mazowieckie
43;1 299 000 zł;74,9 m²;3;parter/7;530 zł;ogródek;;2014;do zamieszkania;ul. Ryżowa, Skorosze, Ursus, Warszawa, mazowieckie
44;1 250 000 zł;72,26 m²;3;2/2;750 zł;balkon;garaż/miejsce parkingowe;1991;do remontu;ul. Henryka Raabego, Natolin, Ursynów, Warszawa, mazowieckie
45;750 000 zł;35,8 m²;1;4/5;710 zł;;garaż/miejsce parkingowe;1912;do zamieszkania;ul. Chłodna, Mirów, Wola, Warszawa, mazowieckie
46;669 000 zł;49,1 m²;2;2/4;1 000 zł;balkon;;1990;do remontu;ul. Ostrobramska, Grochów, Praga-Południe, Warszawa, mazowieckie
47;529 000 zł;24,5 m²;1;9/10;425 zł;;;1971;do zamieszkania;ul. Przy Agorze, Wrzeciono, Bielany, Warszawa, mazowieckie
48;1 077 000 zł;80,44 m²;4;parter/1;80 zł;balkon, ogródek, taras;garaż/miejsce parkingowe;2025;;Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie
49;989 900 zł;66,45 m²;4;7/15;816 zł;balkon;;1977;do remontu;ul. Klaudyny, Marymont-Ruda, Bielany, Warszawa, mazowieckie
50;1 340 000 zł;84,27 m²;3;parter/3;800 zł;ogródek, taras;garaż/miejsce parkingowe;2023;do zamieszkania;al. Aleje Jerozolimskie, Skorosze, Ursus, Warszawa, mazowieckie
51;620 000 zł;35,28 m²;2;4/4;750 zł;balkon;;1935;do remontu;ul. Okopowa, Młynów, Wola, Warszawa, mazowieckie
52;3 750 000 zł;160,5 m²;4;> 10/14;2 500 zł;balkon;garaż/miejsce parkingowe;2000;do zamieszkania;ul. Malborska, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie
53;1 180 000 zł;60,9 m²;3;5/5;612 zł;balkon;garaż/miejsce parkingowe;2009;do zamieszkania;ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie
54;1 466 960 zł;66,68 m²;3;1/6;900 zł;balkon;garaż/miejsce parkingowe;2013;do zamieszkania;ul. Sokratesa, Wawrzyszew, Bielany, Warszawa, mazowieckie
55;1 599 000 zł;69,89 m²;3;1/6;1 000 zł;balkon;garaż/miejsce parkingowe;2014;do zamieszkania;ul. Przasnyska, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
56;2 799 000 zł;113,6 m²;4;6/8;;balkon;garaż/miejsce parkingowe;1994;do zamieszkania;ul. Dzika, Muranów, Śródmieście, Warszawa, mazowieckie
57;997 000 zł;39,69 m²;1;4/7;534 zł;balkon;;2004;do zamieszkania;ul. Dzika, Muranów, Śródmieście, Warszawa, mazowieckie
58;649 000 zł;31,87 m²;1;3/6;625 zł;;;1953;do remontu;pl. Plac gen. Józefa Hallera, Nowa Praga, Praga-Północ, Warszawa, mazowieckie
59;966 019,62 zł;60,38 m²;3;1/3;760 zł;balkon;garaż/miejsce parkingowe;2017;do zamieszkania;ul. Aluzyjna, Nowodwory, Białołęka, Warszawa, mazowieckie
60;625 000 zł;36,5 m²;2;5/10;470 zł;balkon;;1966;do remontu;ul. Strubiczów, Okęcie, Włochy, Warszawa, mazowieckie
61;699 000 zł;40,56 m²;2;parter/5;;;;1928;do zamieszkania;ul. Stalowa, Nowa Praga, Praga-Północ, Warszawa, mazowieckie
62;499 000 zł;24 m²;1;parter/3;370 zł;;;1963;;ul. Konduktorska, Sielce, Mokotów, Warszawa, mazowieckie
63;1 070 000 zł;59,5 m²;2;8/11;;;;2000;;ul. Ludwika Kondratowicza, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie
64;1 043 000 zł;43,42 m²;2;6/7;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Stefana Okrzei, Stara Praga, Praga-Północ, Warszawa, mazowieckie
65;630 000 zł;40 m²;2;2;;;garaż/miejsce parkingowe;brak informacji;do zamieszkania;Pelcowizna, Praga-Północ, Warszawa, mazowieckie
66;1 085 000 zł;57,45 m²;3;2/2;;balkon;garaż/miejsce parkingowe;2025;do wykończenia;al. Aleja Władysława Reymonta, Chomiczówka, Bielany, Warszawa, mazowieckie
67;735 000 zł;36,8 m²;2;1/2;;balkon;garaż/miejsce parkingowe;2025;do wykończenia;al. Aleja Władysława Reymonta, Chomiczówka, Bielany, Warszawa, mazowieckie
68;850 000 zł;56,36 m²;3;2/4;;balkon;;1971;do wykończenia;Rakowiec, Ochota, Warszawa, mazowieckie
69;787 000 zł;38,37 m²;2;parter/2;;ogródek, taras;garaż/miejsce parkingowe;2025;do wykończenia;al. Aleja Władysława Reymonta, Chomiczówka, Bielany, Warszawa, mazowieckie
70;Zapytaj o cenę;101,97 m²;5;8/8;;taras;garaż/miejsce parkingowe;;do wykończenia;ul. Redutowa, Ulrychów, Wola, Warszawa, mazowieckie
71;849 000 zł;39,54 m²;1;4/6;500 zł;balkon;garaż/miejsce parkingowe;2004;do zamieszkania;ul. Kabacki Dukt, Kabaty, Ursynów, Warszawa, mazowieckie
72;859 000 zł;120 m²;5;parter/2;;ogródek;garaż/miejsce parkingowe;2023;;Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
73;770 000 zł;50,5 m²;2;8/10;800 zł;balkon;;1980;do zamieszkania;ul. Andrzeja Sołtana, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie
74;1 109 400 zł;73,06 m²;4;1/7;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Fajansowa, Raków, Włochy, Warszawa, mazowieckie
75;1 280 000 zł;82 m²;3;6/6;;;;2009;;ul. Ryżowa, Skorosze, Ursus, Warszawa, mazowieckie
76;839 000 zł;49 m²;2;1/4;;;;1951;;ul. Puławska, Stary Mokotów, Mokotów, Warszawa, mazowieckie
77;Zapytaj o cenę;44 m²;2;2/8;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Dionizosa, Nowodwory, Białołęka, Warszawa, mazowieckie
78;876 214,95 zł;35,05 m²;2;5/6;615 zł;balkon;;1960;do zamieszkania;Wierzbno, Mokotów, Warszawa, mazowieckie
79;825 000 zł;104 m²;4;parter/1;;ogródek, taras;garaż/miejsce parkingowe;brak informacji;do zamieszkania;Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
80;978 000 zł;52 m²;3;2/8;;;;1995;do zamieszkania;ul. Lubelska, Kamionek, Praga-Południe, Warszawa, mazowieckie
81;645 000 zł;30 m²;1;2/3;614 zł;;;1956;do zamieszkania;ul. Obozowa, Koło, Wola, Warszawa, mazowieckie
82;939 000 zł;64,46 m²;4;4/10;891 zł;balkon;;1972;do zamieszkania;ul. Stefana Pieńkowskiego, Służew, Mokotów, Warszawa, mazowieckie
83;996 000 zł;71,2 m²;4;2/2;800 zł;;garaż/miejsce parkingowe;2013;do zamieszkania;ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie
84;720 000 zł;47,6 m²;3;2/4;;balkon;;1973;do zamieszkania;Nowa Praga, Praga-Północ, Warszawa, mazowieckie
85;1 731 900 zł;75,3 m²;3;parter/4;;balkon, ogródek;garaż/miejsce parkingowe;brak informacji;do zamieszkania;ul. Adama Branickiego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie
86;1 220 000 zł;67,28 m²;3;> 10/12;850 zł;;garaż/miejsce parkingowe;2010;do zamieszkania;ul. Radziwie, Młynów, Wola, Warszawa, mazowieckie
87;905 900 zł;57,65 m²;3;parter/7;;ogródek;garaż/miejsce parkingowe;;do wykończenia;ul. Fajansowa, Raków, Włochy, Warszawa, mazowieckie
88;1 510 000 zł;65 m²;2;parter/6;1 000 zł;balkon, ogródek, taras;;2009;do zamieszkania;ul. Jana Karola Chodkiewicza, Wyględów, Mokotów, Warszawa, mazowieckie
89;Zapytaj o cenę;88,08 m²;4;4/5;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Bokserska, Wyczółki, Ursynów, Warszawa, mazowieckie
90;Zapytaj o cenę;63,72 m²;3;parter/1;;ogródek;;;do wykończenia;ul. Celulozy 119H, Nadwiśle, Wawer, Warszawa, mazowieckie
91;720 000 zł;40,81 m²;2;1/7;200 zł;balkon;;2024;do wykończenia;ul. Jagiellońska 55, Pelcowizna, Praga-Północ, Warszawa, mazowieckie
92;607 000 zł;43,5 m²;2;;;balkon;;brak informacji;;ul. Odkryta, Nowodwory, Białołęka, Warszawa, mazowieckie
93;650 000 zł;40 m²;1;;;;;brak informacji;;Szczęśliwice, Ochota, Warszawa, mazowieckie
94;1 360 000 zł;96 m²;3;parter/4;600 zł;balkon;;1996;do zamieszkania;Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie
95;430 000 zł;20,5 m²;1;2/3;400 zł;balkon;;1960;do zamieszkania;ul. Żwirki i Wigury 5, Okęcie, Włochy, Warszawa, mazowieckie
96;1 332 100 zł;55,87 m²;2;5/11;;;garaż/miejsce parkingowe;;do wykończenia;ul. Śródziemnomorska, Stegny, Mokotów, Warszawa, mazowieckie
97;1 155 206 zł;73,58 m²;4;2/6;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Wybrzeże Puckie, Pelcowizna, Praga-Północ, Warszawa, mazowieckie
98;760 000 zł;55,42 m²;3;2/3;;;;1960;do remontu;Grochów, Praga-Południe, Warszawa, mazowieckie
99;1 480 000 zł;55,24 m²;3;parter/2;;ogródek, taras;garaż/miejsce parkingowe;2020;;Saska Kępa, Praga-Południe, Warszawa, mazowieckie
100;1 190 000 zł;55,29 m²;2;4/4;680 zł;taras;garaż/miejsce parkingowe;2011;do zamieszkania;"ul. Batalionu AK ""Karpaty"", Czerniaków, Mokotów, Warszawa, mazowieckie"
101;799 000 zł;46 m²;3;> 10/11;810 zł;balkon;;1968;do zamieszkania;ul. Okopowa, Nowolipki, Wola, Warszawa, mazowieckie
102;675 000 zł;38,5 m²;2;2/3;750 zł;balkon;;1975;do zamieszkania;ul. Górczewska, Koło, Wola, Warszawa, mazowieckie
103;1 481 000 zł;84,57 m²;4;3/5;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Heroldów, Młociny, Bielany, Warszawa, mazowieckie
104;1 100 000 zł;49,73 m²;2;2/3;;balkon;;1959;do remontu;ul. Filarecka, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie
105;557 280 zł;23,22 m²;1;3/6;;;;1913;do zamieszkania;ul. Poznańska, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie
106;679 000 zł;51,1 m²;2;4/4;;balkon;;1960;do zamieszkania;ul. Grochowska, Gocławek, Praga-Południe, Warszawa, mazowieckie
107;920 000 zł;56,93 m²;3;3/5;800 zł;balkon;garaż/miejsce parkingowe;2017;do zamieszkania;Ku rzece, Żerań, Białołęka, Warszawa, mazowieckie
108;1 190 000 zł;55,29 m²;2;4/4;680 zł;taras;garaż/miejsce parkingowe;2011;do zamieszkania;"ul. Batalionu AK ""Karpaty"", Czerniaków, Mokotów, Warszawa, mazowieckie"
109;629 000 zł;37 m²;2;7/11;700 zł;;;brak informacji;do zamieszkania;"ul. Jana Bytnara ""Rudego"", Wierzbno, Mokotów, Warszawa, mazowieckie"
110;1 172 626 zł;49,27 m²;2;2/7;;balkon;garaż/miejsce parkingowe;2010;do zamieszkania;ul. Giełdowa 4, Czyste, Wola, Warszawa, mazowieckie
111;650 000 zł;45,81 m²;2;3/10;540 zł;;;1980;do remontu;ul. Aleksandra Świętochowskiego, Jelonki Północne, Bemowo, Warszawa, mazowieckie
112;508 000 zł;19 m²;1;4/6;;;garaż/miejsce parkingowe;brak informacji;do zamieszkania;ul. Grójecka 76, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
113;1 060 000 zł;44,46 m²;2;3/6;850 zł;balkon;garaż/miejsce parkingowe;2015;do zamieszkania;ul. Harfowa, Szczęśliwice, Ochota, Warszawa, mazowieckie
114;1 165 000 zł;39,07 m²;2;5/5;750 zł;balkon;;1910;do zamieszkania;ul. Wojciecha Górskiego, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
115;940 000 zł;46 m²;2;7/8;;balkon;;brak informacji;;Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
116;655 200 zł;36 m²;2;2/5;400 zł;balkon;garaż/miejsce parkingowe;2022;do wykończenia;ul. Łopuszańska, Raków, Włochy, Warszawa, mazowieckie
117;1 140 000 zł;38 m²;1;parter/10;440 zł;ogródek, taras;garaż/miejsce parkingowe;2022;do zamieszkania;ul. Siedmiogrodzka, Czyste, Wola, Warszawa, mazowieckie
118;850 000 zł;45 m²;2;6/7;520 zł;balkon;;brak informacji;do zamieszkania;ul. Grójecka, Stara Ochota, Ochota, Warszawa, mazowieckie
119;742 835 zł;58,75 m²;3;parter/5;;taras, ogródek;garaż/miejsce parkingowe;;do wykończenia;ul. Marywilska 60, Żerań, Białołęka, Warszawa, mazowieckie
120;1 250 000 zł;137,7 m²;5;;;balkon, ogródek, taras;garaż/miejsce parkingowe;brak informacji;;ul. Gryfitów, Brzeziny, Białołęka, Warszawa, mazowieckie
121;1 285 000 zł;99 m²;4;9/9;1 345 zł;;garaż/miejsce parkingowe;1995;do zamieszkania;ul. Bitwy Warszawskiej 1920 r., Stara Ochota, Ochota, Warszawa, mazowieckie
122;2 004 000 zł;100,52 m²;4;1/8;;taras;garaż/miejsce parkingowe;;do wykończenia;ul. Domaniewska 24, Ksawerów, Mokotów, Warszawa, mazowieckie
123;1 499 000 zł;74,28 m²;3;1/8;950 zł;balkon;garaż/miejsce parkingowe;2011;do zamieszkania;ul. Obrzeżna, Służewiec, Mokotów, Warszawa, mazowieckie
124;850 000 zł;55,04 m²;3;1/6;;balkon, taras;garaż/miejsce parkingowe;2024;do wykończenia;Górce, Bemowo, Warszawa, mazowieckie
125;1 041 000 zł;86,75 m²;4;parter/3;;ogródek;garaż/miejsce parkingowe;2024;do wykończenia;Elsnerów, Targówek, Warszawa, mazowieckie
126;1 027 000 zł;60,42 m²;3;5/6;800 zł;balkon;garaż/miejsce parkingowe;2024;do wykończenia;Górce, Bemowo, Warszawa, mazowieckie
127;789 000 zł;53 m²;3;1/3;960 zł;balkon;;1962;;ul. Złocienia, Młynów, Wola, Warszawa, mazowieckie
128;825 000 zł;52,5 m²;2;5/5;930 zł;balkon;garaż/miejsce parkingowe;2000;do zamieszkania;ul. Wąwozowa, Kabaty, Ursynów, Warszawa, mazowieckie
129;1 079 000 zł;60,42 m²;3;1/6;700 zł;taras;garaż/miejsce parkingowe;2024;do wykończenia;Górce, Bemowo, Warszawa, mazowieckie
130;1 084 180 zł;71,8 m²;3;4/4;800 zł;balkon;;1958;do zamieszkania;ul. Marcina Kasprzaka, Czyste, Wola, Warszawa, mazowieckie
131;750 000 zł;48,84 m²;3;1/7;550 zł;balkon;;2022;do wykończenia;ul. Edwarda Habicha, Szamoty, Ursus, Warszawa, mazowieckie
132;899 000 zł;68,15 m²;4;1/2;;ogródek, balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Słowicza, Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie
133;925 000 zł;46,79 m²;3;7/14;1 000 zł;;garaż/miejsce parkingowe;1968;do zamieszkania;ul. Puławska, Stary Mokotów, Mokotów, Warszawa, mazowieckie
134;779 000 zł;39,52 m²;2;parter/6;560 zł;ogródek;garaż/miejsce parkingowe;2015;do zamieszkania;ul. Szeligowska, Chrzanów, Bemowo, Warszawa, mazowieckie
135;1 050 000 zł;71 m²;3;2/3;680 zł;balkon;garaż/miejsce parkingowe;2006;do zamieszkania;ul. Skarbka z Gór 69, Grodzisk, Białołęka, Warszawa, mazowieckie
136;519 840 zł;27,36 m²;1;4/5;;balkon;;2025;do wykończenia;Chrzanów, Bemowo, Warszawa, mazowieckie
137;1 010 000 zł;42,6 m²;2;6/7;900 zł;balkon;garaż/miejsce parkingowe;2000;do zamieszkania;ul. Szlenkierów, Młynów, Wola, Warszawa, mazowieckie
138;2 182 000 zł;83,86 m²;4;parter/7;;taras, ogródek;garaż/miejsce parkingowe;;do wykończenia;ul. Anny German, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
139;1 161 000 zł;32,89 m²;1;> 10/16;;;garaż/miejsce parkingowe;;do wykończenia;ul. Ciepła, Mirów, Wola, Warszawa, mazowieckie
141;756 100 zł;44,28 m²;2;parter/7;;ogródek;garaż/miejsce parkingowe;;do wykończenia;ul. Fajansowa, Raków, Włochy, Warszawa, mazowieckie
142;999 900 zł;41,5 m²;2;parter/6;750 zł;;;1950;do zamieszkania;al. Aleja Niepodległości, Stary Mokotów, Mokotów, Warszawa, mazowieckie
143;869 000 zł;49 m²;2;2/7;570 zł;balkon;;2017;do zamieszkania;Górce, Bemowo, Warszawa, mazowieckie
144;1 486 667 zł;73,78 m²;4;8/14;1 100 zł;balkon;garaż/miejsce parkingowe;2017;;Huta, Bielany, Warszawa, mazowieckie
145;725 000 zł;44 m²;2;2/3;750 zł;balkon, taras;;1950;do zamieszkania;Koło, Wola, Warszawa, mazowieckie
146;730 000 zł;44 m²;2;parter/3;852 zł;;;1949;do zamieszkania;Koło, Wola, Warszawa, mazowieckie
147;1 499 000 zł;74,28 m²;3;1/8;950 zł;balkon;garaż/miejsce parkingowe;2011;do zamieszkania;ul. Obrzeżna, Służewiec, Mokotów, Warszawa, mazowieckie
148;895 000 zł;42 m²;2;1/4;680 zł;balkon;garaż/miejsce parkingowe;2013;do zamieszkania;ul. Batalionów Chłopskich, Chrzanów, Bemowo, Warszawa, mazowieckie
149;1 149 000 zł;70,07 m²;3;1/4;;;garaż/miejsce parkingowe;;do wykończenia;ul. Heroldów, Młociny, Bielany, Warszawa, mazowieckie
150;987 000 zł;103 m²;3;parter;;balkon;;1995;do remontu;Marysin Wawerski, Wawer, Warszawa, mazowieckie
151;799 000 zł;44 m²;2;1/6;700 zł;balkon;;2003;do zamieszkania;Gocław, Praga-Południe, Warszawa, mazowieckie
152;839 000 zł;71,74 m²;3;parter/1;;;;2025;;ul. Trakt Lubelski, Zerzeń, Wawer, Warszawa, mazowieckie
153;750 000 zł;57,1 m²;4;3/4;800 zł;balkon;;1970;do remontu;ul. Suwalska, Bródno, Targówek, Warszawa, mazowieckie
154;Zapytaj o cenę;53,37 m²;3;parter/3;;ogródek;garaż/miejsce parkingowe;;do wykończenia;ul. Krzewna, Elsnerów, Targówek, Warszawa, mazowieckie
155;1 745 000 zł;87,5 m²;3;> 10/12;1 119 zł;balkon, taras;garaż/miejsce parkingowe;2008;do zamieszkania;ul. Jana Pawła Woronicza, Wyględów, Mokotów, Warszawa, mazowieckie
156;2 123 000 zł;110 m²;4;parter/2;2 400 zł;ogródek, taras;garaż/miejsce parkingowe;2009;do remontu;ul. Tczewska, Las Bielański, Bielany, Warszawa, mazowieckie
157;Zapytaj o cenę;98,85 m²;4;3/3;;taras, balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Talarowa, Tarchomin, Białołęka, Warszawa, mazowieckie
158;975 398,90 zł;67,13 m²;3;6/6;;balkon;garaż/miejsce parkingowe;2024;do wykończenia;Raków, Włochy, Warszawa, mazowieckie
159;871 004 zł;53,11 m²;3;4/7;;;garaż/miejsce parkingowe;;do wykończenia;ul. Wybrzeże Puckie, Pelcowizna, Praga-Północ, Warszawa, mazowieckie
160;2 449 000 zł;92 m²;3;parter/4;;ogródek;garaż/miejsce parkingowe;2021;do zamieszkania;ul. Włodarzewska, Szczęśliwice, Ochota, Warszawa, mazowieckie
161;Zapytaj o cenę;75,86 m²;4;1/5;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Szeligowska, Chrzanów, Bemowo, Warszawa, mazowieckie
162;Zapytaj o cenę;64 m²;4;4/7;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Posag 7 Panien, Szamoty, Ursus, Warszawa, mazowieckie
163;Zapytaj o cenę;62,86 m²;3;2/10;;;garaż/miejsce parkingowe;;do wykończenia;al. Aleja Krakowska, Raków, Włochy, Warszawa, mazowieckie
164;Zapytaj o cenę;80,06 m²;4;1/6;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Szeligowska 24, Chrzanów, Bemowo, Warszawa, mazowieckie
166;Zapytaj o cenę;117,88 m²;4;6/6;;taras, balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Ząbkowska, Szmulowizna, Praga-Północ, Warszawa, mazowieckie
167;Zapytaj o cenę;78,75 m²;4;parter/3;;ogródek;garaż/miejsce parkingowe;;do wykończenia;ul. Marywilska 19, Żerań, Białołęka, Warszawa, mazowieckie
168;899 000 zł;72,13 m²;3;parter/4;750 zł;balkon;garaż/miejsce parkingowe;2023;do wykończenia;ul. Tużycka 29, Zacisze, Targówek, Warszawa, mazowieckie
