id;price;area;rooms;floor;rent;outdoor;parking;build_year;status;address
9961;535 000 zł;23,3 m²;1;4/8;300 zł;;garaż/miejsce parkingowe;2017;do zamieszkania;ul. Wolska, Odolany, Wola, Warszawa, mazowieckie
9962;750 000 zł;50 m²;2;9/12;660 zł;balkon;;1977;do zamieszkania;ul. Władysława Korotyńskiego, Szczęśliwice, Ochota, Warszawa, mazowieckie
9963;1 950 000 zł;66,9 m²;2;1/8;1 200 zł;balkon;;2003;do zamieszkania;ul. Polna, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie
9964;384 396 zł;15,55 m²;1;3/3;;;;;do wykończenia;ul. Darłowska 2, Grochów, Praga-Południe, Warszawa, mazowieckie
9965;999 000 zł;63,3 m²;4;1/4;1 300 zł;balkon;garaż/miejsce parkingowe;1977;do zamieszkania;Ursynów Północny, Ursynów, Warszawa, mazowieckie
9966;2 182 000 zł;83,86 m²;4;1/7;;;garaż/miejsce parkingowe;;do wykończenia;ul. Anny German, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
9967;6 700 000 zł;140 m²;4;2/5;;balkon, taras;garaż/miejsce parkingowe;brak informacji;do zamieszkania;ul. Wybrzeże Kościuszkowskie, Powiśle, Śródmieście, Warszawa, mazowieckie
9968;380 000 zł;17,33 m²;1;parter/1;400 zł;;;2021;;Filtry, Ochota, Warszawa, mazowieckie
9969;895 900 zł;52,7 m²;2;2/4;;balkon;;2006;do zamieszkania;ul. Romańska, Koło, Wola, Warszawa, mazowieckie
9970;779 000 zł;41,83 m²;2;parter/4;800 zł;;;1958;do remontu;ul. Artura Grottgera, Sielce, Mokotów, Warszawa, mazowieckie
9971;Zapytaj o cenę;45,71 m²;2;2/2;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Bluszczańska, Siekierki, Mokotów, Warszawa, mazowieckie
9972;1 049 000 zł;77,5 m²;3;> 10/12;1 100 zł;balkon;;1977;do zamieszkania;ul. Siemiatycka, Jelonki Południowe, Bemowo, Warszawa, mazowieckie
9973;850 000 zł;41,2 m²;2;parter/4;;balkon, ogródek, taras;;brak informacji;do zamieszkania;ul. Poli Gojawiczyńskiej, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
9974;670 000 zł;37 m²;2;3/5;550 zł;;garaż/miejsce parkingowe;2000;do wykończenia;ul. Powstańców Śląskich, Jelonki Północne, Bemowo, Warszawa, mazowieckie
9975;787 000 zł;38,37 m²;2;parter/2;;ogródek;garaż/miejsce parkingowe;2025;do wykończenia;ul. Fortowa, Chomiczówka, Bielany, Warszawa, mazowieckie
9976;1 085 800 zł;57,45 m²;3;1/2;;;garaż/miejsce parkingowe;2025;do wykończenia;ul. Fortowa, Chomiczówka, Bielany, Warszawa, mazowieckie
9977;1 050 000 zł;69,2 m²;3;parter/4;800 zł;balkon;;1995;do zamieszkania;"ul. Zgrupowania AK ""Żmija"", Piaski, Bielany, Warszawa, mazowieckie"
9978;2 250 000 zł;101 m²;3;9/17;2 000 zł;balkon;;2009;do remontu;ul. Skierniewicka, Czyste, Wola, Warszawa, mazowieckie
9979;2 485 000 zł;108 m²;3;10/12;1 500 zł;balkon;garaż/miejsce parkingowe;2003;do zamieszkania;skwer Skwer kard. Stefana Wyszyńskiego, Nowolipki, Wola, Warszawa, mazowieckie
9980;845 000 zł;50 m²;2;2/5;;balkon;;brak informacji;;Grochów, Praga-Południe, Warszawa, mazowieckie
9981;850 000 zł;55,1 m²;2;parter/5;900 zł;balkon;garaż/miejsce parkingowe;2001;do zamieszkania;al. Aleja Komisji Edukacji Narodowej, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie
9982;681 000 zł;47 m²;3;3/4;560 zł;balkon;garaż/miejsce parkingowe;1975;do zamieszkania;ul. Turmoncka, Bródno, Targówek, Warszawa, mazowieckie
9983;1 242 000 zł;49,66 m²;2;1/4;;;garaż/miejsce parkingowe;;do wykończenia;ul. Anny German, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
9984;1 460 000 zł;60,75 m²;3;parter/7;;taras, ogródek;garaż/miejsce parkingowe;;do wykończenia;ul. Anny German, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
9985;Zapytaj o cenę;102,94 m²;4;parter/4;;ogródek;garaż/miejsce parkingowe;;do wykończenia;ul. Włodarzewska, Szczęśliwice, Ochota, Warszawa, mazowieckie
9986;499 000 zł;18,1 m²;1;> 10/27;285 zł;balkon;;2023;do zamieszkania;ul. Marcina Kasprzaka 29, Odolany, Wola, Warszawa, mazowieckie
9987;704 497 zł;66,15 m²;4;;;;;brak informacji;;Grodzisk, Białołęka, Warszawa, mazowieckie
9988;465 908 zł;34,64 m²;2;;;;;brak informacji;;ul. Leona Berensona, Grodzisk, Białołęka, Warszawa, mazowieckie
9989;1 700 250 zł;68,01 m²;2;4/5;;balkon;;1932;;Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
9990;455 000 zł;28 m²;1;2/10;450 zł;ogródek;garaż/miejsce parkingowe;1972;do zamieszkania;ul. św. Bonifacego, Sadyba, Mokotów, Warszawa, mazowieckie
9991;1 890 000 zł;85 m²;3;3/4;1 350 zł;;;1938;do zamieszkania;ul. Dobra, Powiśle, Śródmieście, Warszawa, mazowieckie
9992;2 900 000 zł;88 m²;3;3/5;;;;1928;;Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie
9993;3 437 700 zł;163,7 m²;4;2/3;1 200 zł;taras;garaż/miejsce parkingowe;2009;do zamieszkania;Służew, Mokotów, Warszawa, mazowieckie
9994;740 000 zł;36,32 m²;2;parter;700 zł;;garaż/miejsce parkingowe;2021;do zamieszkania;Raków, Włochy, Warszawa, mazowieckie
9995;1 890 000 zł;70 m²;6;1/6;;;;1961;do zamieszkania;Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie
9996;1 575 000 zł;52,29 m²;2;3/22;;balkon;;brak informacji;do zamieszkania;ul. Grzybowska, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
9997;1 390 000 zł;92,85 m²;3;3/4;1 500 zł;balkon;garaż/miejsce parkingowe;brak informacji;do zamieszkania;ul. Naukowa 30, Stare Włochy, Włochy, Warszawa, mazowieckie
9998;540 000 zł;20,65 m²;1;3/6;445 zł;;garaż/miejsce parkingowe;1954;;"al. Aleja ""Solidarności"", Śródmieście Północne, Śródmieście, Warszawa, mazowieckie"
9999;760 991 zł;52,17 m²;3;7/8;;balkon;garaż/miejsce parkingowe;2024;do wykończenia;Szamoty, Ursus, Warszawa, mazowieckie
10000;1 150 000 zł;53,34 m²;2;1/4;878 zł;balkon;garaż/miejsce parkingowe;2015;do zamieszkania;"ul. Batalionu AK ""Karpaty"", Czerniaków, Mokotów, Warszawa, mazowieckie"
10001;888 000 zł;60,46 m²;3;;;balkon;garaż/miejsce parkingowe;2023;do zamieszkania;Grochów, Praga-Południe, Warszawa, mazowieckie
10002;775 000 zł;53,1 m²;3;2/4;;balkon;;1975;do zamieszkania;ul. Egejska, Stegny, Mokotów, Warszawa, mazowieckie
10003;952 868 zł;70,65 m²;3;parter/4;;ogródek;garaż/miejsce parkingowe;2023;do wykończenia;ul. Podolska, Gocławek, Praga-Południe, Warszawa, mazowieckie
10004;1 126 000 zł;51 m²;2;4/4;540 zł;;garaż/miejsce parkingowe;1959;do zamieszkania;Stary Żoliborz, Żoliborz, Warszawa, mazowieckie
10005;1 090 000 zł;68,23 m²;3;4/4;933 zł;;garaż/miejsce parkingowe;2011;do zamieszkania;ul. Dzieci Warszawy, Skorosze, Ursus, Warszawa, mazowieckie
10006;937 000 zł;53 m²;2;1/4;900 zł;balkon;garaż/miejsce parkingowe;1983;do zamieszkania;ul. Na Uboczu, Natolin, Ursynów, Warszawa, mazowieckie
10007;1 034 000 zł;63,14 m²;3;1/5;;balkon;garaż/miejsce parkingowe;2017;do zamieszkania;ul. Ceramiczna, Tarchomin, Białołęka, Warszawa, mazowieckie
10008;715 000 zł;45,53 m²;2;1/4;500 zł;balkon;garaż/miejsce parkingowe;2016;do zamieszkania;ul. płk. Witolda Łokuciewskiego, Górce, Bemowo, Warszawa, mazowieckie
10009;3 130 000 zł;98,37 m²;3;2/6;1 520 zł;balkon;;1913;do zamieszkania;ul. Poznańska, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie
10010;Zapytaj o cenę;77,62 m²;3;2/3;;balkon;garaż/miejsce parkingowe;2025;do wykończenia;ul. Romana Palestera, Białołęka Dworska, Białołęka, Warszawa, mazowieckie
10011;600 000 zł;27 m²;1;1/10;400 zł;;;1967;do zamieszkania;ul. Chmielna, Mirów, Wola, Warszawa, mazowieckie
10012;740 000 zł;45,8 m²;2;1/11;900 zł;balkon;;1976;do wykończenia;Służew, Mokotów, Warszawa, mazowieckie
10013;950 000 zł;58,85 m²;3;2/3;900 zł;balkon;garaż/miejsce parkingowe;2018;do zamieszkania;Elsnerów, Targówek, Warszawa, mazowieckie
10014;980 000 zł;50 m²;2;parter/3;;taras;garaż/miejsce parkingowe;2016;;Chomiczówka, Bielany, Warszawa, mazowieckie
10015;Zapytaj o cenę;61,04 m²;3;1/3;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Mariana Hemara, Brzeziny, Białołęka, Warszawa, mazowieckie
10016;750 000 zł;42 m²;2;;620 zł;;;brak informacji;do zamieszkania;Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
10017;910 000 zł;62,5 m²;3;1/5;650 zł;balkon;garaż/miejsce parkingowe;2015;do zamieszkania;Żerań, Białołęka, Warszawa, mazowieckie
10018;1 452 000 zł;60,5 m²;2;3/3;420 zł;;;1877;;ul. Chmielna, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
10019;1 390 000 zł;59 m²;2;1/4;;;garaż/miejsce parkingowe;1950;do zamieszkania;ul. Wiktorska, Stary Mokotów, Mokotów, Warszawa, mazowieckie
10020;1 250 000 zł;57 m²;2;parter/5;790 zł;ogródek, taras;garaż/miejsce parkingowe;2008;do zamieszkania;ul. gen. Tadeusza Pełczyńskiego, Górce, Bemowo, Warszawa, mazowieckie
10021;690 000 zł;37,5 m²;2;7/9;;balkon;;1975;do zamieszkania;ul. Międzynarodowa, Saska Kępa, Praga-Południe, Warszawa, mazowieckie
10022;790 000 zł;57,3 m²;3;2/12;650 zł;;garaż/miejsce parkingowe;1980;;ul. Władysława Umińskiego, Gocław, Praga-Południe, Warszawa, mazowieckie
10023;825 000 zł;104 m²;4;parter/1;;ogródek, taras;garaż/miejsce parkingowe;brak informacji;do zamieszkania;Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
10024;1 199 000 zł;53,9 m²;3;> 10/11;850 zł;balkon;;1968;do zamieszkania;ul. Sienna, Mirów, Wola, Warszawa, mazowieckie
10025;1 313 500 zł;71 m²;3;parter/4;500 zł;;garaż/miejsce parkingowe;2020;do wykończenia;al. Aleja Rzeczypospolitej, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie
10026;1 280 000 zł;82,1 m²;5;3/3;864 zł;balkon;;1994;do zamieszkania;ul. Wilhelma Konrada Roentgena, Stary Imielin, Ursynów, Warszawa, mazowieckie
